"TipLabel","Brain_Size_mL","Body_Mass_g","Cooperative","Sociality","Territoriality","Diet","Diet_Simple","Foraging_Niche","Foraging_Niche_Simple","Migration","Dev_Mode","Clade","CladeFit"
"Pitangus_sulphuratus",1.35,63.3,"NonCooperative","3","strong","Generalist","Generalist","AerialSallying","AerialSallying","Sedentary",-1.900016091,"Tyrannidae","Tyrannidae"
"Dendrocolaptes_platyrostris",1.32,61.7,"NonCooperative","2","strong","Invertebrates","Invertebrates","ForagingGeneralist","ForagingGeneralist","Sedentary",-2.524622143,"Furnariidae","Furnariidae"
"Calyptorhynchus_baudinii",14.63,683.3,"NonCooperative","3","weak","Seeds","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",-2.703191316,"Psittaciformes","Psittaciformes"
"Aeronautes_saxatalis",0.67,31.2,"NonCooperative","2","none","Invertebrates","Invertebrates","AerialScreaning","AerialScreaning","Sedentary",-2.57643502,"Apodiformes","Apodiformes"
"Tanygnathus_megalorynchos",6.98,325,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.990938033,"Psittaciformes","Psittaciformes"
"Margarops_fuscatus",2.35,109.4,"NonCooperative","3","weak","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-1.261991548,"Muscicapoidea","Muscicapoidea"
"Lipaugus_vociferans",1.63,75.7,"NonCooperative","1","none","Fruit","FruitNectar","AerialSallying","AerialSallying","Sedentary",-1.900016091,"Cotingidae","Cotingidae"
"Falco_moluccensis",3.49,162,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialSallying","AerialSallying","Sedentary",-0.578863373,"Falconiformes","Falconiformes"
"Ptilonorhynchus_violaceus",4.72,219,"NonCooperative","1","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-1.883746068,"Ptilonorhynchoidea","Ptilonorhynchoidea"
"Pachyptila_belcheri",2,92.6,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","Sedentary",-0.578863373,"Procellariiformes","Procellariiformes"
"Tyrannus_dominicensis",1,46.3,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","PartiallyMigratory",-1.900016091,"Tyrannidae","Tyrannidae"
"Corvus_macrorhynchos",12.66,582,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",-2.877751502,"Corvoidea","Corvoidea"
"Dicrurus_bracteatus",1.8,82.8,"NonCooperative","3","strong","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.317370637,"Corvoidea","Corvoidea"
"Amazona_viridigenalis",6.89,316,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Todiramphus_pyrrhopygius",1.13,51.7,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.73187365,"Coraciiformes","Coraciiformes"
"Capito_niger",1.35,61.7,"NonCooperative","3","strong","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-3.5090668,"Piciformes","Piciformes"
"Tyrannus_forficatus",0.86,39.3,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Migratory",-1.900016091,"Tyrannidae","Tyrannidae"
"Athene_noctua",3.7,169,"NonCooperative","3","strong","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-1.538881085,"Strigiformes","Strigiformes"
"Polytelis_swainsonii",3.35,153,"NonCooperative","3","none","Seeds","PlantsSeeds","ArborealGleaning","Gleaning","PartiallyMigratory",-2.990938033,"Psittaciformes","Psittaciformes"
"Charadrius_ruficapillus",0.82,37.4,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Charadriiformes","Charadriiformes"
"Cypsiurus_parvus",0.3,13.6,"NonCooperative","2","none","Invertebrates","Invertebrates","AerialScreaning","AerialScreaning","Sedentary",-2.42099639,"Apodiformes","Apodiformes"
"Cacatua_ducorpsii",8.7,394,"NonCooperative","3","weak","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.851845064,"Psittaciformes","Psittaciformes"
"Amazona_auropalliata",9.57,433,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Procelsterna_cerulea",1.12,50.6,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AerialScreaning","AerialScreaning","PartiallyMigratory",-0.578863373,"Charadriiformes","Charadriiformes"
"Mulleripicus_fulvus",4.43,200,"Cooperative","3","weak","Invertebrates","Invertebrates","BarkGleaning","Gleaning","Sedentary",-2.628247897,"Piciformes","Piciformes"
"Ptiloris_paradiseus",2.78,125.5,"NonCooperative","1","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.513920317,"Corvoidea","Corvoidea"
"Catharus_fuscescens",0.92,41.5,"NonCooperative","2","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-1.789681092,"Muscicapoidea","Muscicapoidea"
"Tockus_nasutus",4.05,182.3,"NonCooperative","3","strong","Invertebrates","Invertebrates","ArborealGleaning","Gleaning","Sedentary",-2.317370637,"Bucerotiformes","Bucerotiformes"
"Calyptorhynchus_funereus",15.08,678.5,"NonCooperative","3","weak","Seeds","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",-2.703191316,"Psittaciformes","Psittaciformes"
"Oceanodroma_tethys",0.6,26.9,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AerialScreaning","AerialScreaning","Migratory",-1.459682276,"Procellariiformes","Procellariiformes"
"Aratinga_finschi",5.28,236,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.628247897,"Psittaciformes","Psittaciformes"
"Calyptorhynchus_lathami",9.78,437,"NonCooperative","3","weak","Seeds","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",-2.703191316,"Psittaciformes","Psittaciformes"
"Amazona_amazonica",8.29,370,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Apaloderma_narina",1.52,67.8,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.997647279,"Trogoniformes","Trogoniformes"
